score,phrase
60.5,concert pianist turned bush pilot david tong killed
58.761904761904766,new blockchain technology applications could trace animal welfare
50.0,political donor chau chak wing funded bribe given
44.5,foreign farmland ownership poll finds almost nine
43.0,newcastle artist nigel milsom wins prestigious award
42.907407407407405,winning australian mobile video game takes players
41.0,south china sea amid ongoing donations row
35.0,226 million beverly hills mansion touted
34.0,federal govt funds tas heritage projects
33.83333333333333,racial discrimination act changes could lead
31.342105263157894,"fight ', chinese anzacs initially barred"
29.5,foreign real estate investment boom looks
29.40740740740741,australian council worried foreign interference laws
28.842105263157894,"misunderstanding ', says chinese business delegation"
27.437343358395992,last chinese new year twilight parade
24.833333333333332,east coast passes council hurdle
24.42857142857143,papua new guinea mountain crash
23.666666666666668,matildas coach defends young players
23.342105263157894,chinese tourists spend record amounts
23.000000000000004,liberal mp rejects corruption claims
22.75,sam dastyari backs labor policy
22.416666666666664,former nsw labor powerbroker calls
22.25,malcolm turnbull questions whether labor
22.166666666666668,scott morrison knocks back sale
22.166666666666668,liberal mp andrew hastie says
22.0,racism claims could stifle debate
21.944444444444443,fitzgibbon admits receiving undeclared gifts
21.90740740740741,australian cattle empire withdraws offer
21.875,australia leading rio olympic backlash
21.833333333333332,east coast alarm community groups
21.77777777777778,warner defends fitzgibbon spy inquiry
21.749512670565302,chinese investment says australian academic
21.0,sale '; dastyari says claim
20.749512670565302,share australian values ': chinese
20.444444444444446,defence investigating fitzgibbon spying claims
19.942105263157895,chinese artist guo jian fined
18.007407407407406,australian artist guo jian detained
17.88377192982456,chinese state media says australia
17.5,mp andrew hastie says
17.5,fortescue metals profit takes
16.666666666666668,liberal preselection battle begins
16.666666666666664,nsw amid reports opt
16.5,says premier mike baird
16.5,chau chak wing
16.095238095238095,controversial new book claims
16.0,scrap presidential term limits
16.0,sas pay dock went
16.0,rotting meat remains defiant
16.0,mining executive discusses concern
16.0,gindalbie signs exploration deal
15.666666666666666,chiko roll debate heats
15.666666666666666,bendigo family back victoria
15.5,sell electricity network cannot
